Country,1990,2018
Bangladesh,518.475276029,417.577509911
Indonesia,381.777495389,399.96254677
United Kingdom,170.189467749,331.618980992
"Egypt, Arab Rep.",233.940340972,273.967531544
Mexico,250.69156655,291.903733917
Germany,166.169611238,281.035293932
India,203.000055186,275.432840568
Japan,204.471189649,261.490957165
France,185.097867957,260.858938
Brazil,293.718861274,240.101868495
United States,114.165197263,189.11822652
China,60.3358480718,164.479746044
Saudi Arabia,207.465601047,152.141751417
"Iran, Islamic Rep.",211.309271567,135.284672824
Russian Federation,85.9791871512,124.708543652
