Year,GDP,Economic Energy Efficiency,Primary Energy Demand
2019,1.0,1.0,1.0
2020,1.03148897929,1.01446315488,1.01678308801
2021,1.0639695144,1.02913549261,1.03384784807
2022,1.09747282841,1.04402003863,1.05119900749
2023,1.13203112758,1.05911986215,1.06884137295
2024,1.16767763231,1.07443807675,1.08677983179
2025,1.2044466091,1.08997784106,1.10501935335
2026,1.24237340343,1.10574235939,1.12356499042
2027,1.28149447381,1.12173488239,1.14242188054
2028,1.32184742676,1.13795870773,1.1615952475
2029,1.36347105301,1.15441718077,1.18109040278
2030,1.40640536476,1.17111369525,1.20091274696
2031,1.45069163417,1.188051694,1.22106777128
2032,1.496372433,1.20523466966,1.24156105916
2033,1.54349167356,1.22266616535,1.26239828769
2034,1.5920946509,1.24034977547,1.28358522926
2035,1.6422280864,1.25828914638,1.30512775313
2036,1.6939401726,1.27648797718,1.32703182708
2037,1.74728061962,1.2949500205,1.34930351903
2038,1.80230070287,1.31367908321,1.37194899874
2039,1.85905331239,1.33267902725,1.39497453953
2040,1.91759300364,1.35195377043,1.41838652001
2041,1.97797605003,1.3715072872,1.44219142581
2042,2.04026049691,1.39134360951,1.46639585144
2043,2.10450621745,1.41146682763,1.49100650207
2044,2.17077497015,1.43188109096,1.51603019542
2045,2.23913045824,1.45259060895,1.54147386362
2046,2.30963839087,1.4735996519,1.56734455514
2047,2.38236654633,1.4949125519,1.59364943675
2048,2.45738483718,1.51653370367,1.62039579551
2049,2.53476537743,1.53846756551,1.64759104076
2050,2.61458255192,1.56071866018,1.67524270621
