Year,Efficiency
1990,139.496382428
1991,140.530138016
1992,142.034603449
1993,143.575638133
1994,145.871896711
1995,147.675325014
1996,148.908742351
1997,153.228539226
1998,156.12289717
1999,158.756835234
2000,162.227417007
2001,164.241494022
2002,165.10066157
2003,165.266092125
2004,165.850410624
2005,167.899198559
2006,171.809946378
2007,175.380182049
2008,178.191859771
2009,180.095473146
2010,180.656460783
2011,183.209429777
2012,186.721402579
2013,189.437149818
2014,194.266422803
2015,199.240266113
2016,203.120140868
2017,206.93031616
2018,208.534893037
